Name,Email,Error
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
,,"Message: element click intercepted: Element <a class=""more-link"" href=""https://collaborativedivorcetexas.com/membership-account/profile/cwrampelmeier/"">...</a> is not clickable at point (165, 845). Other element would receive the click: <a href=""#"">...</a>
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3C40F2E]
	(No symbol) [0x00007FF7E3C3E9CC]
	(No symbol) [0x00007FF7E3C3BBA6]
	(No symbol) [0x00007FF7E3C3AB01]
	(No symbol) [0x00007FF7E3C2CD40]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
Anne Wynne,anne@wwlawaustin.com,
,,"Message: stale element reference: stale element not found
  (Session info: chrome=131.0.6778.265); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x00007FF7E40B80D5+2992373]
	(No symbol) [0x00007FF7E3D4BFD0]
	(No symbol) [0x00007FF7E3BE590A]
	(No symbol) [0x00007FF7E3BF9F04]
	(No symbol) [0x00007FF7E3BF89B4]
	(No symbol) [0x00007FF7E3BED0E9]
	(No symbol) [0x00007FF7E3BEAF32]
	(No symbol) [0x00007FF7E3BEF11C]
	(No symbol) [0x00007FF7E3BEF1EF]
	(No symbol) [0x00007FF7E3C3B3FB]
	(No symbol) [0x00007FF7E3C2CC36]
	(No symbol) [0x00007FF7E3C5F36A]
	(No symbol) [0x00007FF7E3C2C596]
	(No symbol) [0x00007FF7E3C5F580]
	(No symbol) [0x00007FF7E3C7F584]
	(No symbol) [0x00007FF7E3C5F113]
	(No symbol) [0x00007FF7E3C2A918]
	(No symbol) [0x00007FF7E3C2BA81]
	GetHandleVerifier [0x00007FF7E4116A2D+3379789]
	GetHandleVerifier [0x00007FF7E412C32D+3468109]
	GetHandleVerifier [0x00007FF7E4120043+3418211]
	GetHandleVerifier [0x00007FF7E3EAC78B+847787]
	(No symbol) [0x00007FF7E3D5757F]
	(No symbol) [0x00007FF7E3D52FC4]
	(No symbol) [0x00007FF7E3D5315D]
	(No symbol) [0x00007FF7E3D42979]
	BaseThreadInitThunk [0x00007FFABBA7259D+29]
	RtlUserThreadStart [0x00007FFABC62AF38+40]
"
